channel,track,group,zone,periods,selected_order,nyquist_cap,f_driven,aic_best,bic_best,f_pvalues
DO_1_1,min,aerobic_do,aerobic,"[1440, 720]",5,360,5,5,5,"[0.0, 0.0, 0.0, 0.0, 0.1033]"
DO_1_2,min,aerobic_do,aerobic,"[1440, 720]",3,360,3,6,3,"[0.0, 0.0, 0.0969, 0.0, 0.0088]"
DO_1_3,min,aerobic_do,aerobic,"[1440, 720]",5,360,6,6,5,"[0.0, 0.0, 0.0, 0.0, 0.0236]"
DO_1_4,min,postanoxic_do,post_anoxic,[1440],1,720,1,1,1,[0.0]
DO_2_1,min,aerobic_do,aerobic,"[1440, 720]",5,360,5,5,5,"[0.0, 0.0, 0.0, 0.0, 0.1916]"
DO_2_2,min,aerobic_do,aerobic,"[1440, 720]",3,360,3,6,3,"[0.0, 0.0, 0.3034, 0.0, 0.0445]"
DO_2_3,min,aerobic_do,aerobic,"[1440, 720]",3,360,5,5,3,"[0.0003, 0.0, 0.0169, 0.0, 0.5563]"
DO_2_4,min,postanoxic_do,post_anoxic,[1440],1,720,1,1,1,[0.0]
ORP_1_1,min,anoxic_orp,anaerobic,"[1440, 720]",3,360,3,5,3,"[0.0, 0.0, 0.8521, 0.0]"
ORP_1_2,min,anoxic_orp,pre_anoxic_front,"[1440, 720]",5,360,5,5,5,"[0.0, 0.0, 0.0, 0.0]"
ORP_1_3,min,anoxic_orp,pre_anoxic_rear,"[1440, 720]",3,360,5,5,3,"[0.0, 0.0, 0.02, 0.0]"
ORP_2_1,min,anoxic_orp,anaerobic,"[1440, 720]",3,360,3,5,3,"[0.0, 0.0, 0.73, 0.0]"
ORP_2_2,min,anoxic_orp,pre_anoxic_front,"[1440, 720]",5,360,5,5,5,"[0.0, 0.0, 0.0, 0.0]"
ORP_2_3,min,anoxic_orp,pre_anoxic_rear,"[1440, 720]",2,360,4,4,2,"[0.0, 0.0036, 0.0046, 0.3186]"
QR_1,min,flow,recycle,"[1440, 10080]",6,720,6,6,6,"[0.0, 0.0, 0.0, 0.0, 0.0]"
QR_2,min,flow,recycle,"[1440, 10080]",6,720,6,6,6,"[0.0, 0.0, 0.0, 0.0, 0.0]"
QIR_1,min,flow,recycle,"[1440, 10080]",6,720,6,6,6,"[0.0, 0.0, 0.0, 0.0, 0.0]"
QIR_2,min,flow,recycle,"[1440, 10080]",6,720,6,6,6,"[0.0, 0.0, 0.0, 0.0, 0.0]"
inf_pH,hour,influent,influent,"[24, 168]",1,12,2,2,1,"[0.0264, 0.4339, 0.7856]"
inf_T,hour,influent,influent,"[24, 168]",1,12,2,2,1,"[0.0042, 0.9511, 0.9677]"
inf_SS,hour,influent,influent,"[24, 168]",1,12,2,2,1,"[0.0383, 0.9106, 0.5482]"
inf_NH4,hour,influent,influent,"[24, 168]",3,12,4,4,3,"[0.0, 0.0, 0.0]"
inf_TP,hour,influent,influent,"[24, 168]",2,12,4,4,2,"[0.0, 0.0, 0.0209]"
inf_TN,hour,influent,influent,"[24, 168]",3,12,4,4,3,"[0.0, 0.0, 0.0302]"
inf_COD,hour,influent,influent,"[24, 168]",2,12,4,4,2,"[0.0, 0.0, 0.0]"
inf_Q,hour,influent_flow,influent,"[24, 168]",2,12,2,2,2,"[0.0, 0.1956, 0.422]"
eff_COD,hour,effluent,effluent,"[168, 24]",1,12,1,1,1,"[0.0, 0.1071]"
eff_TP,hour,effluent,effluent,"[168, 24]",0,12,1,1,0,"[0.0227, 0.3604]"
eff_NH4,hour,effluent,effluent,"[168, 24]",2,12,2,2,2,"[0.0, 0.0]"
eff_TN,hour,effluent,effluent,"[168, 24]",2,12,2,2,2,"[0.0, 0.0]"
eff_pH,hour,effluent,effluent,"[168, 24]",2,12,2,2,2,"[0.0, 0.0]"
eff_T,hour,effluent,effluent,"[168, 24]",0,12,0,0,0,"[0.9678, 0.9932]"
eff_sludge,hour,effluent,effluent,"[168, 24]",1,12,2,2,1,"[0.0, 0.0488]"
